Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anq),https://plants.usda.gov/home/plantProfile?symbol=COWO,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anr),https://plants.usda.gov/home/plantProfile?symbol=ANTI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ans),https://plants.usda.gov/home/plantProfile?symbol=COCO10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ant),https://plants.usda.gov/home/plantProfile?symbol=COAC7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anu),https://plants.usda.gov/home/plantProfile?symbol=COAC2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anv),https://plants.usda.gov/home/plantProfile?symbol=COAD,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anw),https://plants.usda.gov/home/plantProfile?symbol=COAP3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anx),https://plants.usda.gov/home/plantProfile?symbol=COBU4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021any),https://plants.usda.gov/home/plantProfile?symbol=CODI16,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021anz),https://plants.usda.gov/home/plantProfile?symbol=CODI19,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ao),https://plants.usda.gov/home/plantProfile?symbol=ACMO8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoa),https://plants.usda.gov/home/plantProfile?symbol=COFR3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aob),https://plants.usda.gov/home/plantProfile?symbol=COHO80,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoc),https://plants.usda.gov/home/plantProfile?symbol=COLA18,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aod),https://plants.usda.gov/home/plantProfile?symbol=COLU5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoe),https://plants.usda.gov/home/plantProfile?symbol=COMU9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aof),https://plants.usda.gov/home/plantProfile?symbol=CONI12,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aog),https://plants.usda.gov/home/plantProfile?symbol=COPA14,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoh),https://plants.usda.gov/home/plantProfile?symbol=COBUM,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoi),https://plants.usda.gov/home/plantProfile?symbol=COSI13,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoj),https://plants.usda.gov/home/plantProfile?symbol=COSI82,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aok),https://plants.usda.gov/home/plantProfile?symbol=COAU3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aol),https://plants.usda.gov/home/plantProfile?symbol=COCO7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aom),https://plants.usda.gov/home/plantProfile?symbol=COME15,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aon),https://plants.usda.gov/home/plantProfile?symbol=COOR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoo),https://plants.usda.gov/home/plantProfile?symbol=COORO,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aop),https://plants.usda.gov/home/plantProfile?symbol=CRMA,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoq),https://plants.usda.gov/home/plantProfile?symbol=CRCR9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aor),https://plants.usda.gov/home/plantProfile?symbol=CRMU10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aos),https://plants.usda.gov/home/plantProfile?symbol=CROV3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aot),https://plants.usda.gov/home/plantProfile?symbol=CRSI5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aou),https://plants.usda.gov/home/plantProfile?symbol=CRTI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aov),https://plants.usda.gov/home/plantProfile?symbol=CRLA80,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aow),https://plants.usda.gov/home/plantProfile?symbol=CRMO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aox),https://plants.usda.gov/home/plantProfile?symbol=CRCO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoy),https://plants.usda.gov/home/plantProfile?symbol=CRBI3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aoz),https://plants.usda.gov/home/plantProfile?symbol=CRBU3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ap),https://plants.usda.gov/home/plantProfile?symbol=ACCA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apa),https://plants.usda.gov/home/plantProfile?symbol=CRCA3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apb),https://plants.usda.gov/home/plantProfile?symbol=CRFO2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apc),https://plants.usda.gov/home/plantProfile?symbol=CRNI2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apd),https://plants.usda.gov/home/plantProfile?symbol=CRPA20,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ape),https://plants.usda.gov/home/plantProfile?symbol=CRPU3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apf),https://plants.usda.gov/home/plantProfile?symbol=CRRU9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apg),https://plants.usda.gov/home/plantProfile?symbol=CRSE2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aph),https://plants.usda.gov/home/plantProfile?symbol=CRTE3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021api),https://plants.usda.gov/home/plantProfile?symbol=CRVE3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apj),https://plants.usda.gov/home/plantProfile?symbol=CRZA2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apk),https://plants.usda.gov/home/plantProfile?symbol=CRTR5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apl),https://plants.usda.gov/home/plantProfile?symbol=CRAS6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apm),https://plants.usda.gov/home/plantProfile?symbol=CRBU2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apn),https://plants.usda.gov/home/plantProfile?symbol=CRZE,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apo),https://plants.usda.gov/home/plantProfile?symbol=CRCR6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021app),https://plants.usda.gov/home/plantProfile?symbol=CRAN5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apq),https://plants.usda.gov/home/plantProfile?symbol=CRFL7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apr),https://plants.usda.gov/home/plantProfile?symbol=CRIM4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aps),https://plants.usda.gov/home/plantProfile?symbol=CRSI6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apt),https://plants.usda.gov/home/plantProfile?symbol=CRTO8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apu),https://plants.usda.gov/home/plantProfile?symbol=CRVE4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apv),https://plants.usda.gov/home/plantProfile?symbol=CRAS2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apw),https://plants.usda.gov/home/plantProfile?symbol=CRBE8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apx),https://plants.usda.gov/home/plantProfile?symbol=CRBI8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apy),https://plants.usda.gov/home/plantProfile?symbol=CRBR8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021apz),https://plants.usda.gov/home/plantProfile?symbol=CRIN5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aq),https://plants.usda.gov/home/plantProfile?symbol=ACGI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqa),https://plants.usda.gov/home/plantProfile?symbol=CRJU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqb),https://plants.usda.gov/home/plantProfile?symbol=CRLA7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqc),https://plants.usda.gov/home/plantProfile?symbol=CRLO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqd),https://plants.usda.gov/home/plantProfile?symbol=CRMI9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
